Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Conv. rate,Conversions,Cost / conv.,Impressions,CPL,CTR,CPM
Enabled,Video views - 2025-07-19,5000.00, --,Campaign Total,Ended,campaign ended; unknown, --,Video,INR,0.12,64.2,"25,881",20127,77.77%,0.08,1661.67,0.0,0.0,0.0,0.00%,0.0,0.0,25881,0.0,77.77,64.2
Enabled,MH-m-sand,500.00, --,Daily,Not eligible,All ad groups paused; All ads paused; most ads disapproved, --,Demand Gen,INR,1.06,44.57,"20,287",1934,9.53%,0.47,904.26,15.0,60.28,0.02,0.78%,15.0,60.28,20287,60.28,9.53,44.57
